年数,排名,国家/地区,所在洲,GDP(美元/亿)
1968,52,苏丹,非洲,19.47亿 
1968,53,缅甸,亚洲,18.41亿 
1968,54,斯里兰卡,亚洲,18.01亿 
1968,55,加纳,非洲,16.67亿 
1968,56,危地马拉,美洲,16.11亿 
1968,57,赞比亚,非洲,16.06亿 
1968,58,乌拉圭,美洲,15.94亿 
1968,59,叙利亚,亚洲,15.62亿 
1968,60,津巴布韦,非洲,14.8亿 
1968,61,新加坡,亚洲,14.26亿 
1968,62,阿富汗,亚洲,13.73亿 
1968,63,肯尼亚,非洲,13.53亿 
1968,64,科特迪瓦,非洲,12.81亿 
1968,65,突尼斯,非洲,12.15亿 
1968,66,巴拿马,美洲,11.13亿 
1968,67,牙买加,美洲,10.84亿 
1968,68,多米尼加,美洲,10.79亿 
1968,69,卢森堡,欧洲,10.66亿 
1968,70,柬埔寨,亚洲,10.66亿 
1968,71,喀麦隆,非洲,10.46亿 
1968,72,乌干达,非洲,10.38亿 
1968,73,塞内加尔,非洲,10.34亿 
1968,74,马达加斯加,非洲,10.32亿 
1968,75,萨尔瓦多,美洲,10.1亿 
1968,76,玻利维亚,美洲,8.58亿 
1968,77,哥斯达黎加,美洲,7.74亿 
1968,78,尼泊尔,亚洲,7.72亿 
1968,79,特立尼达和多巴哥,美洲,7.59亿 
1968,80,尼加拉瓜,美洲,6.96亿 
1968,81,洪都拉斯,美洲,6.47亿 
1968,82,尼日尔,非洲,6.41亿 
1968,83,约旦,亚洲,5.61亿 
1968,84,巴拉圭,美洲,5.18亿 
1968,85,巴布亚新几内亚,大洋洲,4.85亿 
1968,86,冰岛,欧洲,4.74亿 
1968,87,布基纳法索,非洲,4.6亿 
1968,88,乍得,非洲,4.54亿 
1968,89,巴哈马,美洲,4.45亿 
1968,90,海地,美洲,3.68亿 
1968,91,马里,非洲,3.44亿 
1968,92,塞拉利昂,非洲,3.3亿 
1968,93,贝宁,非洲,3.26亿 
1968,94,加蓬,非洲,2.94亿 
1968,95,索马里,非洲,2.87亿 
1968,96,利比里亚,非洲,2.77亿 
1968,97,法属波利尼西亚,大洋洲,2.6亿 
1968,98,刚果（布）,非洲,2.51亿 
1968,99,马拉维,非洲,2.45亿 
1968,100,多哥,非洲,2.42亿 
1968,101,苏里南,美洲,2.41亿 
1968,102,圭亚那,美洲,2.3亿 
1968,103,新喀里多尼亚,大洋洲,2.16亿 
1968,104,毛里塔尼亚,非洲,2.11亿 
1968,105,中非,非洲,1.92亿 
1968,106,阿曼,亚洲,1.89亿 
1968,107,布隆迪,非洲,1.83亿 
1968,108,卢旺达,非洲,1.72亿 
1968,109,斐济群岛,大洋洲,1.67亿 
1968,110,文莱,亚洲,1.61亿 
1968,111,百慕大,美洲,1.5亿 
1968,112,斯威士兰,非洲,7980万 
1968,113,赤道几内亚,非洲,6751万 
1968,114,博茨瓦纳,非洲,6625万 
1968,115,莱索托,非洲,6144万 
1968,116,伯利兹,美洲,4491万 
1968,117,冈比亚,非洲,4116万 
1968,118,所罗门群岛,大洋洲,2808万 
1968,119,塞舌尔,非洲,1607万 
1968,120,圣文森特和格林纳丁斯,美洲,1535万 
1968,121,圣基茨和尼维斯,美洲,1460万 
1969,1,美国,美洲,1.02万亿 
1969,2,日本,亚洲,1722.04亿 
1969,3,法国,欧洲,1419.03亿 
1969,4,英国,欧洲,1164.65亿 
1969,5,意大利,欧洲,970.85亿 
1969,6,中国,亚洲,797.06亿 
1969,7,加拿大,美洲,791.48亿 
1969,8,印度,亚洲,584.48亿 
1969,9,巴西,美洲,371.72亿 
1969,10,澳大利亚,大洋洲,366.86亿 
1969,11,西班牙,欧洲,360.39亿 
1969,12,荷兰,欧洲,340.36亿 
1969,13,瑞典,欧洲,337.38亿 
1969,14,墨西哥,美洲,324.8亿 
1969,15,阿根廷,美洲,312.56亿 
1969,16,比利时,欧洲,237.11亿 
1969,17,瑞士,欧洲,205.25亿 
1969,18,土耳其,欧洲,194.67亿 
1969,19,南非,非洲,167.8亿 
1969,20,丹麦,欧洲,154.15亿 
1969,21,奥地利,欧洲,135.83亿 
1969,22,希腊,欧洲,116.16亿 
1969,23,挪威,欧洲,110.63亿 
1969,24,委内瑞拉,美洲,102.85亿 
1969,25,芬兰,欧洲,100.71亿 
1969,26,伊朗,亚洲,97.43亿 
1969,27,菲律宾,亚洲,95.72亿 
1969,28,巴基斯坦,亚洲,86.83亿 
1969,29,孟加拉,亚洲,84.71亿 
1969,30,智利,美洲,83.77亿 
1969,31,印尼,亚洲,83.37亿 
1969,32,韩国,亚洲,76.79亿 
1969,33,葡萄牙,欧洲,69.69亿 
1969,34,泰国,亚洲,66.95亿 
1969,35,尼日利亚,非洲,66.34亿 
1969,36,埃及,非洲,65.24亿 
1969,37,哥伦比亚,美洲,64.5亿 
1969,38,秘鲁,美洲,64.21亿 
1969,39,新西兰,大洋洲,57.62亿 
1969,40,以色列,亚洲,53.29亿 
1969,41,刚果（金）,非洲,50.32亿 
1969,42,沙特阿拉伯,亚洲,44.86亿 
1969,43,波多黎各,美洲,44.61亿 
1969,44,阿尔及利亚,非洲,42.57亿 
1969,45,爱尔兰,欧洲,37.87亿 
1969,46,马来西亚,亚洲,36.65亿 
1969,47,摩洛哥,非洲,36.52亿 
1969,48,香港,亚洲,31.9亿 
1969,49,厄瓜多尔,美洲,31.12亿 
1969,50,伊拉克,亚洲,30.08亿 
1969,51,科威特,亚洲,27.7亿 
1969,52,苏丹,非洲,21.44亿 
1969,53,缅甸,亚洲,20.22亿 
1969,54,乌拉圭,美洲,20.04亿 
1969,55,赞比亚,非洲,19.66亿 
1969,56,斯里兰卡,亚洲,19.66亿 
1969,57,加纳,非洲,19.62亿 
1969,58,叙利亚,亚洲,17.97亿 
1969,59,津巴布韦,非洲,17.48亿 
1969,60,危地马拉,美洲,17.15亿 
1969,61,新加坡,亚洲,16.6亿 
1969,62,肯尼亚,非洲,14.58亿 
1969,63,阿富汗,亚洲,14.09亿 
1969,64,科特迪瓦,非洲,13.61亿 
1969,65,突尼斯,非洲,12.9亿 
1969,66,卢森堡,欧洲,12.35亿 
1969,67,多米尼加,美洲,12.3亿 
1969,68,巴拿马,美洲,12.21亿 
1969,69,牙买加,美洲,11.91亿 
1969,70,乌干达,非洲,11.69亿 
1969,71,喀麦隆,非洲,11.01亿 
1969,72,马达加斯加,非洲,10.56亿 
1969,73,萨尔瓦多,美洲,10.49亿 
1969,74,塞内加尔,非洲,9.84亿 
1969,75,柬埔寨,亚洲,9.79亿 
1969,76,玻利维亚,美洲,9.3亿 
1969,77,哥斯达黎加,美洲,8.54亿 
1969,78,尼泊尔,亚洲,7.89亿 
1969,79,特立尼达和多巴哥,美洲,7.79亿 
1969,80,尼加拉瓜,美洲,7.48亿 
1969,81,约旦,亚洲,6.99亿 
1969,82,洪都拉斯,美洲,6.68亿 
1969,83,尼日尔,非洲,6.26亿 
1969,84,巴拉圭,美洲,5.56亿 
1969,85,巴布亚新几内亚,大洋洲,5.51亿 
1969,86,巴哈马,美洲,5.28亿 
1969,87,布基纳法索,非洲,4.78亿 
1969,88,乍得,非洲,4.72亿 
1969,89,冰岛,欧洲,4.15亿 
1969,90,塞拉利昂,非洲,4.09亿 
1969,91,海地,美洲,3.92亿 
1969,92,马里,非洲,3.4亿 
1969,93,贝宁,非洲,3.31亿 
1969,94,加蓬,非洲,3.18亿 
1969,95,利比里亚,非洲,3.07亿 
1969,96,索马里,非洲,3.06亿 
1969,97,多哥,非洲,2.68亿 
1969,98,马拉维,非洲,2.66亿 
1969,99,刚果（布）,非洲,2.65亿 
1969,100,新喀里多尼亚,大洋洲,2.63亿 
1969,101,苏里南,美洲,2.6亿 
1969,102,圭亚那,美洲,2.49亿 
1969,103,法属波利尼西亚,大洋洲,2.43亿 
1969,104,阿曼,亚洲,2.4亿 
1969,105,毛里塔尼亚,非洲,2.0亿 
1969,106,布隆迪,非洲,1.9亿 
1969,107,卢旺达,非洲,1.89亿 
1969,108,中非,非洲,1.88亿 
1969,109,斐济群岛,大洋洲,1.82亿 
1969,110,百慕大,美洲,1.65亿 
1969,111,文莱,亚洲,1.61亿 
1969,112,斯威士兰,非洲,1.05亿 
1969,113,博茨瓦纳,非洲,7736万 
1969,114,赤道几内亚,非洲,6723万 
1969,115,莱索托,非洲,6597万 
1969,116,伯利兹,美洲,4731万 
1969,117,冈比亚,非洲,4517万 
1969,118,所罗门群岛,大洋洲,2861万 
1969,119,圣文森特和格林纳丁斯,美洲,1665万 
1969,120,塞舌尔,非洲,1645万 
1969,121,圣基茨和尼维斯,美洲,1585万 
1970,1,美国,美洲,1.07万亿 
1970,2,德国,欧洲,2158.38亿 
1970,3,日本,亚洲,2126.09亿 
1970,4,法国,欧洲,1484.56亿 
1970,5,英国,欧洲,1306.72亿 
1970,6,意大利,欧洲,1133.95亿 
1970,7,中国,亚洲,926.03亿 
1970,8,加拿大,美洲,878.96亿 
1970,9,印度,亚洲,624.22亿 
1970,10,巴西,美洲,423.28亿 
1970,11,澳大利亚,大洋洲,413.37亿 
1970,12,西班牙,欧洲,409.93亿 
1970,13,荷兰,欧洲,381.65亿 
1970,14,瑞典,欧洲,380.92亿 
1970,15,墨西哥,美洲,355.2亿 
1970,16,阿根廷,美洲,315.84亿 
1970,17,比利时,欧洲,267.06亿 
1970,18,瑞士,欧洲,242.74亿 
1970,19,南非,非洲,184.18亿 
1970,20,土耳其,欧洲,170.87亿 
1970,21,丹麦,欧洲,170.75亿 
1970,22,奥地利,欧洲,153.73亿 
1970,23,希腊,欧洲,131.4亿 
1970,24,挪威,欧洲,128.14亿 
1970,25,尼日利亚,非洲,125.46亿 
1970,26,委内瑞拉,美洲,115.61亿 
1970,27,芬兰,欧洲,113.58亿 
1970,28,伊朗,亚洲,109.76亿 
1970,29,巴基斯坦,亚洲,100.28亿 
1970,30,印尼,亚洲,91.51亿 
1970,31,智利,美洲,91.26亿 
1970,32,韩国,亚洲,90.05亿 
1970,33,孟加拉,亚洲,89.93亿 
1970,34,葡萄牙,欧洲,81.08亿 
1970,35,埃及,非洲,80.42亿 
1970,36,菲律宾,亚洲,75.59亿 
1970,37,秘鲁,美洲,74.32亿 
1970,38,哥伦比亚,美洲,71.98亿 
1970,39,泰国,亚洲,70.87亿 
1970,40,以色列,亚洲,70.73亿 
1970,41,新西兰,大洋洲,66.24亿 
1970,42,古巴,美洲,56.93亿 
1970,43,沙特阿拉伯,亚洲,53.77亿 
1970,44,波多黎各,美洲,50.35亿 
1970,45,刚果（金）,非洲,48.78亿 
1970,46,阿尔及利亚,非洲,48.63亿 
1970,47,爱尔兰,欧洲,43.96亿 
1970,48,摩洛哥,非洲,39.56亿 
1970,49,马来西亚,亚洲,38.64亿 
1970,50,香港,亚洲,38.01亿 
1970,51,伊拉克,亚洲,32.82亿 
1970,52,科威特,亚洲,28.74亿 
1970,53,厄瓜多尔,美洲,28.63亿 
1970,54,苏丹,非洲,24.38亿 
1970,55,斯里兰卡,亚洲,22.96亿 
1970,56,加纳,非洲,22.15亿 
1970,57,乌拉圭,美洲,21.37亿 
1970,58,缅甸,亚洲,21.18亿 
1970,59,新加坡,亚洲,19.21亿 
1970,60,危地马拉,美洲,19.04亿 
1970,61,津巴布韦,非洲,18.84亿 
1970,62,赞比亚,非洲,18.25亿 
1970,63,叙利亚,亚洲,17.8亿 
1970,64,阿富汗,亚洲,17.49亿 
1970,65,肯尼亚,非洲,16.03亿 
1970,66,多米尼加,美洲,14.86亿 
1970,67,卢森堡,欧洲,14.58亿 
1970,68,科特迪瓦,非洲,14.55亿 
1970,69,突尼斯,非洲,14.39亿 
1970,70,牙买加,美洲,14.05亿 
1970,71,巴拿马,美洲,13.51亿 
1970,72,乌干达,非洲,12.6亿 
1970,73,喀麦隆,非洲,11.51亿 
1970,74,萨尔瓦多,美洲,11.33亿 
1970,75,马达加斯加,非洲,11.12亿 
1970,76,塞内加尔,非洲,10.25亿 
1970,77,玻利维亚,美洲,10.17亿 
1970,78,哥斯达黎加,美洲,9.85亿 
1970,79,尼泊尔,亚洲,8.66亿 
1970,80,特立尼达和多巴哥,美洲,8.22亿 
1970,81,尼加拉瓜,美洲,7.77亿 
1970,82,洪都拉斯,美洲,7.23亿 
1970,83,柬埔寨,亚洲,7.18亿 
1970,84,尼日尔,非洲,6.5亿 
1970,85,巴布亚新几内亚,大洋洲,6.46亿 
1970,86,约旦,亚洲,6.4亿 
1970,87,巴拉圭,美洲,5.95亿 
1970,88,巴哈马,美洲,5.38亿 
1970,89,冰岛,欧洲,5.27亿 
1970,90,乍得,非洲,4.69亿 
1970,91,布基纳法索,非洲,4.58亿 
1970,92,塞拉利昂,非洲,4.34亿 
1970,93,马里,非洲,3.6亿 
1970,94,新喀里多尼亚,大洋洲,3.59亿 
1970,95,贝宁,非洲,3.34亿 
1970,96,海地,美洲,3.31亿 
1970,97,加蓬,非洲,3.24亿 
1970,98,利比里亚,非洲,3.23亿 
1970,99,索马里,非洲,3.23亿 
1970,100,卡塔尔,亚洲,3.02亿 
1970,101,摩纳哥,欧洲,2.93亿 
1970,102,马拉维,非洲,2.91亿 
1970,103,刚果（布）,非洲,2.75亿 
1970,104,苏里南,美洲,2.75亿 
1970,105,圭亚那,美洲,2.68亿 
1970,106,阿曼,亚洲,2.56亿 
1970,107,法属波利尼西亚,大洋洲,2.54亿 
1970,108,多哥,非洲,2.54亿 
1970,109,马耳他,欧洲,2.51亿 
1970,110,布隆迪,非洲,2.43亿 
1970,111,卢旺达,非洲,2.2亿 
1970,112,斐济群岛,大洋洲,2.2亿 
1970,113,毛里塔尼亚,非洲,2.09亿 
1970,114,中非,非洲,1.89亿 
1970,115,百慕大,美洲,1.86亿 
1970,116,文莱,亚洲,1.79亿 
1970,117,斯威士兰,非洲,1.12亿 
1970,118,博茨瓦纳,非洲,9625万 
1970,119,列支敦士登,欧洲,9010万 
1970,120,几内亚比绍,非洲,7873万 
1970,121,安道尔,欧洲,7862万 
1970,122,格陵兰,美洲,6952万 
1970,123,莱索托,非洲,6874万 
1970,124,赤道几内亚,非洲,6633万 
1970,125,伯利兹,美洲,5323万 
1970,126,冈比亚,非洲,5230万 
1970,127,圣文森特和格林纳丁斯,美洲,1845万 
1970,128,塞舌尔,非洲,1843万 
1970,129,圣基茨和尼维斯,美洲,1630万 
1970,130,基里巴斯,大洋洲,1430万 
1971,1,美国,美洲,1.16万亿 
1971,2,德国,欧洲,2499.85亿 
1971,3,日本,亚洲,2401.52亿 
1971,4,法国,欧洲,1659.67亿 
1971,5,英国,欧洲,1481.14亿 
1971,6,意大利,欧洲,1246.72亿 
1971,7,中国,亚洲,998.01亿 
1971,8,加拿大,美洲,992.72亿 
1971,9,印度,亚洲,673.51亿 
1971,10,巴西,美洲,488.7亿 
1971,11,西班牙,欧洲,466.19亿 
1971,12,澳大利亚,大洋洲,452.22亿 
1971,13,荷兰,欧洲,445.79亿 
1971,14,瑞典,欧洲,415.66亿 
1971,15,墨西哥,美洲,392.0亿 
1971,16,阿根廷,美洲,332.93亿 
1971,17,比利时,欧洲,298.22亿 
1971,18,瑞士,欧洲,291.7亿 
1971,19,南非,非洲,203.34亿 
1971,20,丹麦,欧洲,190.86亿 
1971,21,奥地利,欧洲,178.58亿 
1971,22,土耳其,欧洲,162.57亿 
1971,23,希腊,欧洲,145.92亿 
1971,24,挪威,欧洲,145.83亿 
1971,25,伊朗,亚洲,137.32亿 
1971,26,委内瑞拉,美洲,129.87亿 
1971,27,芬兰,欧洲,125.27亿 
1971,28,智利,美洲,108.84亿 
1971,29,巴基斯坦,亚洲,106.66亿 
1971,30,韩国,亚洲,99.03亿 
1971,31,印尼,亚洲,93.34亿 
1971,32,葡萄牙,欧洲,92.02亿 
1971,33,尼日利亚,非洲,91.82亿 
1971,34,孟加拉,亚洲,87.52亿 
1971,35,埃及,非洲,86.09亿 
1971,36,菲律宾,亚洲,83.75亿 
1971,37,秘鲁,美洲,82.9亿 
1971,38,新西兰,大洋洲,79.11亿 
1971,39,哥伦比亚,美洲,78.2亿 
1971,40,泰国,亚洲,73.75亿 
1971,41,沙特阿拉伯,亚洲,71.85亿 
1971,42,古巴,美洲,69.15亿 
1971,43,以色列,亚洲,67.35亿 
1971,44,波多黎各,美洲,56.47亿 
1971,45,刚果（金）,非洲,55.95亿 
1971,46,爱尔兰,欧洲,50.98亿 
1971,47,阿尔及利亚,非洲,50.77亿 
1971,48,香港,亚洲,44.76亿 
1971,49,摩洛哥,非洲,43.57亿 
1971,50,马来西亚,亚洲,42.44亿 
1971,51,科威特,亚洲,38.8亿 
1971,52,伊拉克,亚洲,38.65亿 
1971,53,乌拉圭,美洲,28.07亿 
1971,54,厄瓜多尔,美洲,27.54亿 
1971,55,苏丹,非洲,26.56亿 
1971,56,加纳,非洲,24.17亿 
1971,57,斯里兰卡,亚洲,23.69亿 
1971,58,新加坡,亚洲,22.64亿 
1971,59,津巴布韦,非洲,21.79亿 
1971,60,缅甸,亚洲,21.73亿 
1971,61,叙利亚,亚洲,20.98亿 
1971,62,危地马拉,美洲,19.85亿 
1971,63,阿富汗,亚洲,18.31亿 
1971,64,肯尼亚,非洲,17.78亿 
1971,65,赞比亚,非洲,16.87亿 
1971,66,突尼斯,非洲,16.85亿 
1971,67,多米尼加,美洲,16.66亿 
1971,68,科特迪瓦,非洲,15.84亿 
1971,69,牙买加,美洲,15.4亿 
1971,70,巴拿马,美洲,15.24亿 
1971,71,卢森堡,欧洲,15.19亿 
1971,72,乌干达,非洲,14.18亿 
1971,73,喀麦隆,非洲,12.37亿 
1971,74,马达加斯加,非洲,12.0亿 
1971,75,萨尔瓦多,美洲,11.86亿 
1971,76,玻利维亚,美洲,10.96亿 
1971,77,哥斯达黎加,美洲,10.77亿 
1971,78,塞内加尔,非洲,10.58亿 
1971,79,柬埔寨,亚洲,9.7亿 
1971,80,特立尼达和多巴哥,美洲,8.97亿 
1971,81,尼泊尔,亚洲,8.83亿 
1971,82,尼加拉瓜,美洲,8.27亿 
1971,83,洪都拉斯,美洲,7.31亿 
1971,84,巴布亚新几内亚,大洋洲,7.18亿 
1971,85,尼日尔,非洲,6.94亿 
1971,86,约旦,亚洲,6.78亿 
1971,87,冰岛,欧洲,6.7亿 
1971,88,巴拉圭,美洲,6.65亿 
1971,89,巴哈马,美洲,5.73亿 
1971,90,乍得,非洲,5.02亿 
1971,91,布基纳法索,非洲,4.82亿 
1971,92,塞拉利昂,非洲,4.2亿 
1971,93,新喀里多尼亚,大洋洲,4.14亿 
1971,94,马里,非洲,3.95亿 
1971,95,卡塔尔,亚洲,3.88亿 
1971,96,加蓬,非洲,3.82亿 
1971,97,马拉维,非洲,3.65亿 
1971,98,海地,美洲,3.63亿 
1971,99,利比里亚,非洲,3.42亿 
1971,100,贝宁,非洲,3.35亿 
1971,101,索马里,非洲,3.31亿 
1971,102,摩纳哥,欧洲,3.28亿 
1971,103,刚果（布）,非洲,3.22亿 
1971,104,阿曼,亚洲,3.01亿 
1971,105,苏里南,美洲,3.01亿 
1971,106,法属波利尼西亚,大洋洲,2.97亿 
1971,107,多哥,非洲,2.87亿 
1971,108,圭亚那,美洲,2.82亿 
1971,109,马耳他,欧洲,2.65亿 
1971,110,布隆迪,非洲,2.53亿 
1971,111,斐济群岛,大洋洲,2.48亿 
1971,112,毛里塔尼亚,非洲,2.27亿 
1971,113,卢旺达,非洲,2.23亿 
1971,114,百慕大,美洲,2.11亿 
1971,115,中非,非洲,2.01亿 
1971,116,文莱,亚洲,1.98亿 
1971,117,斯威士兰,非洲,1.36亿 
1971,118,博茨瓦纳,非洲,1.27亿 
1971,119,列支敦士登,欧洲,1.05亿 
1971,120,安道尔,欧洲,8941万 
1971,121,格陵兰,美洲,8857万 
1971,122,几内亚比绍,非洲,7854万 
1971,123,莱索托,非洲,7648万 
1971,124,赤道几内亚,非洲,6495万 
1971,125,伯利兹,美洲,5921万 
1971,126,冈比亚,非洲,5573万 
1971,127,所罗门群岛,大洋洲,5006万 
1971,128,塞舌尔,非洲,2197万 
1971,129,圣文森特和格林纳丁斯,美洲,2005万 
1971,130,圣基茨和尼维斯,美洲,1962万 
1971,131,基里巴斯,大洋洲,1528万 
1972,1,美国,美洲,1.28万亿 
1972,2,日本,亚洲,3180.31亿 
1972,3,德国,欧洲,2998.02亿 
1972,4,法国,欧洲,2034.94亿 
1972,5,英国,欧洲,1699.65亿 
1972,6,意大利,欧洲,1452.6亿 
1972,7,中国,亚洲,1136.88亿 
1972,8,加拿大,美洲,1130.83亿 
1972,9,印度,亚洲,714.63亿 
1972,10,西班牙,欧洲,591.32亿 
1972,11,巴西,美洲,584.35亿 
1972,12,荷兰,欧洲,547.07亿 
1972,13,澳大利亚,大洋洲,520.51亿 
1972,14,瑞典,欧洲,489.54亿 
1972,15,墨西哥,美洲,452.0亿 
1972,16,比利时,欧洲,372.09亿 
1972,17,瑞士,欧洲,357.77亿 
1972,18,阿根廷,美洲,277.86亿 
1972,19,丹麦,欧洲,232.32亿 
1972,20,奥地利,欧洲,220.6亿 
1972,21,南非,非洲,213.57亿 
1972,22,土耳其,欧洲,204.31亿 
1972,23,挪威,欧洲,173.59亿 
1972,24,伊朗,亚洲,171.53亿 
1972,25,希腊,欧洲,168.86亿 
1972,26,芬兰,欧洲,147.43亿 
1972,27,委内瑞拉,美洲,139.78亿 
1972,28,尼日利亚,非洲,122.74亿 
1972,29,智利,美洲,118.54亿 
1972,30,葡萄牙,欧洲,112.39亿 
1972,31,印尼,亚洲,109.98亿 
1972,32,韩国,亚洲,108.62亿 
1972,33,沙特阿拉伯,亚洲,96.64亿 
1972,34,新西兰,大洋洲,95.67亿 
1972,35,巴基斯坦,亚洲,94.15亿 
1972,36,埃及,非洲,93.0亿 
1972,37,秘鲁,美洲,91.89亿 
1972,38,菲律宾,亚洲,90.68亿 
1972,39,以色列,亚洲,88.05亿 
1972,40,哥伦比亚,美洲,86.71亿 
1972,41,泰国,亚洲,81.78亿 
1972,42,古巴,美洲,81.35亿 
1972,43,阿尔及利亚,非洲,67.67亿 
1972,44,波多黎各,美洲,63.29亿 
1972,45,爱尔兰,欧洲,63.18亿 
1972,46,孟加拉,亚洲,62.88亿 
1972,47,刚果（金）,非洲,61.74亿 
1972,48,香港,亚洲,57.1亿 
1972,49,摩洛哥,非洲,50.74亿 
1972,50,马来西亚,亚洲,50.43亿 
1972,51,科威特,亚洲,44.51亿 
1972,52,伊拉克,亚洲,41.14亿 
1972,53,厄瓜多尔,美洲,31.86亿 
1972,54,苏丹,非洲,28.82亿 
1972,55,新加坡,亚洲,27.21亿 
1972,56,津巴布韦,非洲,26.78亿 
1972,57,斯里兰卡,亚洲,25.54亿 
1972,58,叙利亚,亚洲,24.16亿 
1972,59,突尼斯,非洲,22.37亿 
1972,60,乌拉圭,美洲,21.89亿 
1972,61,加纳,非洲,21.12亿 
1972,62,肯尼亚,非洲,21.07亿 
1972,63,危地马拉,美洲,21.01亿 
1972,64,缅甸,亚洲,20.04亿 
1972,65,多米尼加,美洲,19.87亿 
1972,66,赞比亚,非洲,19.11亿 
1972,67,卢森堡,欧洲,19.02亿 
1972,68,牙买加,美洲,18.75亿 
1972,69,科特迪瓦,非洲,18.49亿 
1972,70,巴拿马,美洲,16.73亿 
1972,71,阿富汗,亚洲,15.96亿 
1972,72,喀麦隆,非洲,14.98亿 
1972,73,乌干达,非洲,14.92亿 
1972,74,马达加斯加,非洲,13.42亿 
1972,75,塞内加尔,非洲,12.8亿 
1972,76,萨尔瓦多,美洲,12.64亿 
1972,77,玻利维亚,美洲,12.58亿 
1972,78,哥斯达黎加,美洲,12.38亿 
1972,79,特立尼达和多巴哥,美洲,10.83亿 
1972,80,尼泊尔,亚洲,10.24亿 
1972,81,尼加拉瓜,美洲,8.81亿 
1972,82,巴布亚新几内亚,大洋洲,8.59亿 
1972,83,冰岛,欧洲,8.4亿 
1972,84,洪都拉斯,美洲,8.03亿 
1972,85,约旦,亚洲,7.89亿 
1972,86,巴拉圭,美洲,7.69亿 
1972,87,尼日尔,非洲,7.43亿 
1972,88,巴哈马,美洲,5.91亿 
1972,89,乍得,非洲,5.85亿 
1972,90,布基纳法索,非洲,5.79亿 
1972,91,卡塔尔,亚洲,5.1亿 
1972,92,新喀里多尼亚,大洋洲,5.07亿 
1972,93,柬埔寨,亚洲,5.06亿 
1972,94,马里,非洲,4.87亿 
1972,95,塞拉利昂,非洲,4.65亿 
1972,96,加蓬,非洲,4.31亿 
1972,97,索马里,非洲,4.17亿 
1972,98,刚果（布）,非洲,4.11亿 
1972,99,贝宁,非洲,4.1亿 
1972,100,马拉维,非洲,4.06亿 
1972,101,摩纳哥,欧洲,4.02亿 
1972,102,海地,美洲,3.72亿 
1972,103,利比里亚,非洲,3.68亿 
1972,104,阿曼,亚洲,3.67亿 
1972,105,多哥,非洲,3.36亿 
1972,106,法属波利尼西亚,大洋洲,3.26亿 
1972,107,斐济群岛,大洋洲,3.17亿 
1972,108,苏里南,美洲,3.12亿 
1972,109,马耳他,欧洲,2.95亿 
1972,110,圭亚那,美洲,2.85亿 
1972,111,文莱,亚洲,2.71亿 
1972,112,毛里塔尼亚,非洲,2.65亿 
1972,113,布隆迪,非洲,2.47亿 
1972,114,卢旺达,非洲,2.46亿 
1972,115,百慕大,美洲,2.35亿 
1972,116,中非,非洲,2.3亿 
1972,117,博茨瓦纳,非洲,1.64亿 
1972,118,斯威士兰,非洲,1.47亿 
1972,119,列支敦士登,欧洲,1.25亿 
